datetime,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY.1,BID.1,ASK.1,ASK QTY.1,CHNG.1,LTP.1,IV.1,VOLUME.1,CHNG IN OI.1,OI.1
2022-12-12 14:33:57.600,60985.0,29304.0,461091.0,15.39,6.7,-1.75,225.0,6.75,7.35,50,45500,750.0,1803.7,1955.75,1825.0,-25.9,1835.15,21.99,102.0,24.0,35.0
2022-12-12 14:39:01.200,4965.0,4965.0,78401.0,15.93,6.25,-305.95,50.0,4.5,6.25,550,45600,750.0,1894.3,1999.75,150.0,-2004.6,2020.95,30.99,7.0,7.0,7.0
2022-12-12 14:44:04.800,64746.0,40794.0,468141.0,18.63,6.15,0.15,125.0,6.1,6.2,50,46000,750.0,2286.25,2446.9,1675.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-12 14:49:08.400,29670.0,21405.0,260320.0,21.49,5.25,0.4,25.0,5.25,5.3,200,46500,750.0,2777.7,2942.45,625.0,-1905.05,2903.35,38.7,6.0,4.0,4.0
2022-12-12 14:54:12.000,23263.0,15386.0,194522.0,23.97,4.2,-0.1,850.0,4.2,4.65,25,47000,750.0,3283.05,3457.25,625.0,-1866.4,3393.2,42.44,22.0,22.0,22.0
2022-12-12 14:59:15.600,10422.0,7795.0,87973.0,26.5,3.6,-0.4,2475.0,3.6,4.5,1025,47500,750.0,3760.2,3941.9,275.0,-1786.65,3933.5,51.17,67.0,34.0,34.0
2022-12-12 15:04:19.200,11328.0,8301.0,106069.0,29.11,3.3,-0.55,10000.0,3.2,3.3,600,48000,750.0,4261.2,4438.1,150.0,-1785.75,4402.65,52.53,18.0,18.0,18.0
2022-12-12 15:09:22.800,28669.0,19816.0,197676.0,31.6,3.0,-0.7,11675.0,3.0,3.05,9425,48500,750.0,4760.4,4968.05,275.0,-1787.8,4875.2,53.44,208.0,100.0,100.0
2022-12-13 09:00:00.000,3.0,0.0,0.0,0.0,7242.1,0.0,750.0,7111.8,7305.5,900,36500,2675.0,2.3,2.35,1800.0,-0.1,2.3,72.43,86686.0,11263.0,22614.0
2022-12-13 09:05:03.600,16.0,0.0,0.0,0.0,6586.4,3.75,75.0,6654.85,6771.15,25,37000,825.0,2.5,2.85,300.0,0.0,2.5,68.03,68163.0,1189.0,5564.0
2022-12-13 09:10:07.200,0.0,0.0,0.0,0.0,0.0,0.0,750.0,6128.45,6310.95,300,37500,175.0,2.5,3.2,25.0,-0.2,2.5,63.07,37339.0,372.0,1599.0
2022-12-13 09:15:10.800,7.0,0.0,0.0,0.0,5738.1,0.0,50.0,5704.15,5816.5,200,38000,2700.0,2.85,3.15,75.0,-0.15,2.85,58.94,69079.0,536.0,5644.0
2022-12-13 09:20:14.400,4.0,0.0,0.0,0.0,5025.35,0.0,750.0,5120.0,5289.95,25,38500,75.0,3.15,3.8,500.0,-0.15,3.25,54.76,46103.0,4306.0,8108.0
2022-12-13 09:25:18.000,38.0,0.0,0.0,0.0,4551.7,0.0,1175.0,4663.1,4768.5,50,39000,1725.0,3.3,3.5,1400.0,-0.55,3.3,49.86,86677.0,233.0,10251.0
2022-12-13 09:30:21.600,42.0,0.0,0.0,0.0,4055.05,0.0,2100.0,4145.4,4262.95,25,39500,8425.0,3.55,3.7,1325.0,-0.55,3.7,45.48,95364.0,1699.0,11127.0
2022-12-13 09:35:25.200,1.0,0.0,0.0,0.0,3991.65,0.0,750.0,3967.45,4267.55,750,39600,50.0,2.2,4.0,75.0,-0.15,3.95,44.82,10000.0,-197.0,368.0
2022-12-13 09:40:28.800,0.0,0.0,0.0,0.0,0.0,0.0,750.0,3920.15,4107.5,900,39700,100.0,3.7,5.35,100.0,-0.3,4.05,43.94,9755.0,49.0,352.0
2022-12-13 09:45:32.400,0.0,0.0,0.0,0.0,0.0,0.0,750.0,3753.35,4211.15,500,39800,100.0,3.65,0.0,0.0,-0.35,4.1,42.99,9690.0,11.0,585.0
2022-12-13 09:50:36.000,0.0,0.0,0.0,0.0,0.0,0.0,750.0,3670.2,3911.5,900,39900,1000.0,3.6,4.1,500.0,-1.0,3.6,41.33,11394.0,-432.0,436.0
2022-12-13 09:55:39.600,142.0,2.0,29.0,0.0,3725.0,63.65,100.0,3720.0,3725.5,75,40000,50.0,3.85,3.95,25.0,-0.9,3.95,40.78,239282.0,-3239.0,29987.0
2022-12-13 10:00:43.200,4.0,0.0,1.0,64.28,3714.35,287.75,750.0,3520.9,3696.0,150,40100,50.0,4.1,5.25,50.0,-0.65,4.1,39.95,10604.0,378.0,1096.0
2022-12-13 10:05:46.800,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3475.75,3654.05,750,40200,175.0,4.1,4.85,750.0,-0.85,4.1,38.94,16449.0,389.0,1749.0
2022-12-13 10:10:50.400,12.0,0.0,0.0,0.0,3440.0,0.0,750.0,3322.45,3505.25,25,40300,225.0,4.05,4.8,75.0,-0.95,4.05,37.87,19185.0,750.0,1688.0
2022-12-13 10:15:54.000,0.0,0.0,0.0,0.0,0.0,0.0,750.0,3258.9,3454.25,750,40400,1450.0,4.5,5.0,275.0,-0.25,4.75,37.6,26210.0,62.0,1435.0
2022-12-13 10:20:57.600,62.0,0.0,8.0,0.0,3225.0,152.05,100.0,3220.0,3291.3,1075,40500,100.0,4.75,4.85,50.0,-0.35,4.85,36.67,248353.0,10979.0,32974.0
2022-12-13 10:26:01.200,0.0,0.0,0.0,0.0,0.0,0.0,750.0,3045.65,3191.95,25,40600,75.0,4.9,5.35,50.0,-0.45,4.9,35.68,32632.0,1045.0,2970.0
2022-12-13 10:31:04.800,1.0,0.0,0.0,0.0,2860.0,0.0,25.0,2999.4,3110.45,50,40700,450.0,5.1,5.85,50.0,-0.7,5.1,34.83,29714.0,-1019.0,1495.0
2022-12-13 10:36:08.400,1.0,0.0,0.0,0.0,2610.0,0.0,775.0,2848.9,3010.25,50,40800,100.0,5.2,5.95,300.0,-0.55,5.4,34.05,38895.0,358.0,2472.0
2022-12-13 10:41:12.000,1.0,0.0,0.0,0.0,2658.85,0.0,750.0,2772.1,2902.45,50,40900,650.0,4.3,5.9,250.0,-0.95,5.45,33.05,60617.0,-4772.0,4618.0
2022-12-13 10:46:15.600,576.0,-19.0,51.0,0.0,2694.8,59.2,150.0,2706.9,2730.35,75,41000,1000.0,5.7,6.1,150.0,-0.5,6.1,32.5,415336.0,26390.0,71666.0
2022-12-13 10:51:19.200,3.0,0.0,0.0,0.0,2123.6,0.0,900.0,2539.7,2710.55,50,41100,75.0,5.8,6.3,625.0,-0.55,6.1,31.43,50631.0,494.0,3554.0
2022-12-13 10:56:22.800,11.0,0.0,1.0,0.0,2450.0,-86.8,175.0,2490.7,2529.6,75,41200,250.0,5.8,6.3,25.0,-0.45,6.4,30.58,59267.0,-84.0,8046.0
2022-12-13 11:01:26.400,22.0,0.0,0.0,0.0,2325.45,0.0,775.0,2367.7,2487.3,50,41300,150.0,6.5,6.85,100.0,-0.45,6.85,29.8,56142.0,240.0,5387.0
2022-12-13 11:06:30.000,5.0,0.0,0.0,0.0,2200.95,0.0,1000.0,2240.1,2410.95,50,41400,175.0,6.65,7.45,150.0,-1.15,6.65,28.59,70504.0,1207.0,6118.0
2022-12-13 11:11:33.600,824.0,-2.0,279.0,0.0,2226.2,94.2,125.0,2218.05,2226.0,25,41500,325.0,7.2,7.45,2700.0,-1.15,7.45,27.98,394539.0,34397.0,76117.0
2022-12-13 11:16:37.200,69.0,0.0,14.0,0.0,2106.7,100.1,800.0,2094.5,2168.9,150,41600,500.0,7.3,8.05,150.0,-0.7,8.05,27.2,85067.0,2205.0,7457.0
2022-12-13 11:21:40.800,29.0,7.0,10.0,0.0,2027.6,51.1,1275.0,1996.1,2114.2,1350,41700,75.0,8.0,8.25,500.0,-1.4,8.0,26.07,90005.0,620.0,11022.0
2022-12-13 11:26:44.400,23.0,6.0,29.0,0.0,1928.85,116.25,50.0,1919.4,1945.75,250,41800,125.0,8.75,9.95,300.0,-1.45,8.75,25.32,128061.0,1802.0,10059.0
2022-12-13 11:31:48.000,18.0,-3.0,7.0,0.0,1833.4,76.3,200.0,1800.5,1843.9,200,41900,100.0,9.2,10.0,25.0,-2.15,9.2,24.39,109761.0,3933.0,10665.0
2022-12-13 11:36:51.600,2838.0,-166.0,1760.0,0.0,1726.4,78.3,175.0,1726.4,1730.35,100,42000,150.0,10.0,10.25,250.0,-2.85,10.05,23.59,487518.0,25244.0,77207.0
2022-12-13 11:41:55.200,257.0,1.0,53.0,24.58,1660.0,124.55,150.0,1592.2,1634.15,50,42100,100.0,11.05,11.65,400.0,-2.95,11.05,22.81,129070.0,3095.0,9483.0
2022-12-13 11:46:58.800,225.0,19.0,256.0,0.0,1531.95,141.95,25.0,1528.0,1541.55,150,42200,25.0,9.55,11.8,25.0,-3.9,11.8,21.89,185108.0,689.0,17878.0
2022-12-13 11:52:02.400,505.0,59.0,463.0,0.0,1433.8,83.2,250.0,1395.55,1435.2,125,42300,600.0,12.65,13.5,300.0,-4.65,13.05,21.08,229721.0,5638.0,24028.0
2022-12-13 11:57:06.000,384.0,66.0,304.0,0.0,1338.55,82.15,25.0,1328.15,1342.05,150,42400,75.0,14.0,15.55,275.0,-6.0,15.3,20.49,260132.0,-10.0,25854.0
2022-12-13 12:02:09.600,1834.0,-376.0,11572.0,0.0,1231.9,85.55,100.0,1230.2,1235.0,25,42500,275.0,16.65,17.45,75.0,-7.35,17.5,19.77,570669.0,12495.0,66878.0
2022-12-13 12:07:13.200,453.0,23.0,1942.0,0.0,1134.55,49.65,50.0,1132.5,1140.0,100,42600,375.0,18.7,19.95,150.0,-10.4,18.7,18.75,352127.0,12342.0,38014.0
2022-12-13 12:12:16.800,1081.0,111.0,3586.0,0.0,1041.0,67.8,50.0,1041.0,1044.65,25,42700,25.0,22.25,23.5,25.0,-9.7,23.55,18.37,369261.0,2330.0,21066.0
2022-12-13 12:17:20.400,1887.0,843.0,7109.0,11.68,947.2,87.4,125.0,939.7,948.8,50,42800,375.0,26.7,28.0,2575.0,-14.95,26.7,17.53,555897.0,10083.0,34198.0
2022-12-13 12:22:24.000,1675.0,660.0,30938.0,10.81,847.7,57.7,25.0,846.4,852.65,25,42900,25.0,31.4,31.8,275.0,-19.05,31.8,16.87,658540.0,7179.0,32856.0
2022-12-13 12:27:27.600,18791.0,-302.0,150334.0,12.5,758.0,60.0,25.0,757.0,758.0,125,43000,25.0,39.0,39.9,25.0,-22.95,38.35,16.24,1524857.0,19678.0,84814.0
2022-12-13 12:32:31.200,4286.0,-811.0,74245.0,12.64,667.0,58.95,50.0,661.4,667.0,300,43100,25.0,47.05,49.95,200.0,-27.05,47.05,15.67,969938.0,25225.0,51956.0
2022-12-13 12:37:34.800,7766.0,400.0,243589.0,12.88,580.95,56.15,25.0,578.5,580.0,50,43200,575.0,61.05,61.25,25.0,-28.75,61.05,15.39,1315180.0,18130.0,62415.0
2022-12-13 12:42:38.400,15530.0,-1994.0,545677.0,12.7,495.75,47.75,25.0,494.5,496.0,150,43300,75.0,77.0,77.9,25.0,-36.2,77.55,15.01,1657952.0,14103.0,59811.0
2022-12-13 12:47:42.000,19573.0,-504.0,1130245.0,12.49,415.0,40.6,25.0,415.05,418.0,50,43400,50.0,97.6,98.35,50.0,-47.0,98.35,14.66,2215887.0,28786.0,67997.0
2022-12-13 12:52:45.600,58360.0,-6143.0,3155620.0,12.47,342.5,31.95,25.0,342.45,345.0,275,43500,300.0,125.0,127.0,2750.0,-53.35,127.0,14.51,3486505.0,39321.0,113323.0
2022-12-13 12:57:49.200,51637.0,-427.0,2704978.0,12.44,277.0,20.9,900.0,277.0,279.9,600,43600,925.0,159.0,160.6,25.0,-59.15,159.0,14.19,2938117.0,21121.0,66074.0
2022-12-13 13:02:52.800,97177.0,18345.0,3558813.0,12.52,221.0,13.4,225.0,220.0,220.95,50,43700,425.0,200.0,202.25,625.0,-60.6,201.0,14.09,3260607.0,42453.0,78142.0
2022-12-13 13:07:56.400,81658.0,11655.0,2953276.0,12.31,168.3,5.3,100.0,168.8,170.4,250,43800,200.0,249.65,252.0,175.0,-67.4,252.0,14.12,1801101.0,19450.0,40106.0
2022-12-13 13:13:00.000,53305.0,14260.0,1767542.0,12.34,127.5,2.5,125.0,127.5,129.0,225,43900,125.0,307.0,308.35,600.0,-72.3,308.35,14.03,835402.0,7378.0,16035.0
2022-12-13 13:18:03.600,97341.0,8555.0,2538973.0,12.27,93.0,-1.8,25.0,94.0,94.95,200,44000,25.0,374.0,374.5,75.0,-75.6,374.05,14.11,829975.0,8066.0,22948.0
2022-12-13 13:23:07.200,44302.0,12614.0,1231458.0,12.32,67.15,-4.35,2775.0,67.15,67.95,25,44100,25.0,445.35,449.0,650.0,-77.95,445.4,14.15,128534.0,1322.0,4216.0
2022-12-13 13:28:10.800,53991.0,9864.0,1275457.0,12.41,47.85,-5.9,250.0,47.0,48.0,25,44200,300.0,525.0,531.75,25.0,-77.85,529.55,14.81,73362.0,678.0,4687.0
